Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class,state
RB50392,Washington,,Master,,0.0,1000.0,1/0/00,Personal Auto,Four-Door Car,2.704934,,,,,,,,,,,,
QZ44356,Arizona,F,Bachelor,697953.59%,0.0,94.0,1/0/00,Personal Auto,Four-Door Car,1131.464935,,,,,,,,,,,,
AI49188,Nevada,F,Bachelor,1288743.17%,48767.0,108.0,1/0/00,Personal Auto,Two-Door Car,566.472247,,,,,,,,,,,,
WW63253,California,M,Bachelor,764586.18%,0.0,106.0,1/0/00,Corporate Auto,SUV,529.881344,,,,,,,,,,,,
GA49547,Washington,M,High School or Below,536307.65%,36357.0,68.0,1/0/00,Personal Auto,Four-Door Car,17.269323,,,,,,,,,,,,
OC83172,Oregon,F,Bachelor,825629.78%,62902.0,69.0,1/0/00,Personal Auto,Two-Door Car,159.383042,,,,,,,,,,,,
XZ87318,Oregon,F,College,538089.86%,55350.0,67.0,1/0/00,Corporate Auto,Four-Door Car,321.6,,,,,,,,,,,,
CF85061,Arizona,M,Master,721610.03%,0.0,101.0,1/0/00,Corporate Auto,Four-Door Car,363.02968,,,,,,,,,,,,
DY87989,Oregon,M,Bachelor,2412750.40%,14072.0,71.0,1/0/00,Corporate Auto,Four-Door Car,511.2,,,,,,,,,,,,
BQ94931,Oregon,F,College,738817.81%,28812.0,93.0,1/0/00,Special Auto,Four-Door Car,425.527834,,,,,,,,,,,,
SX51350,California,M,College,473899.20%,0.0,67.0,1/0/00,Personal Auto,Four-Door Car,482.4,,,,,,,,,,,,
VQ65197,California,,College,819719.71%,0.0,110.0,1/0/00,Personal Auto,SUV,528.0,,,,,,,,,,,,
DP39365,California,,Master,879879.70%,77026.0,110.0,1/2/00,Corporate Auto,Four-Door Car,472.029737,,,,,,,,,,,,
SJ95423,Arizona,,High School or Below,881901.89%,99845.0,110.0,1/1/00,Corporate Auto,SUV,528.0,,,,,,,,,,,,
IL66569,California,,College,538443.17%,83689.0,70.0,1/2/00,Corporate Auto,Four-Door Car,307.139132,,,,,,,,,,,,
BW63560,Oregon,,Bachelor,746313.94%,24599.0,64.0,1/1/00,Corporate Auto,Four-Door Car,42.920271,,,,,,,,,,,,
FV94802,Nevada,,High School or Below,256686.78%,25049.0,67.0,1/0/00,Personal Auto,Two-Door Car,454.245098,,,,,,,,,,,,
OE15005,Cali,,College,394524.16%,28855.0,101.0,1/0/00,Personal Auto,SUV,647.442031,,,,,,,,,,,,
WC83389,Oregon,,College,571033.31%,51148.0,72.0,1/0/00,Personal Auto,Four-Door Car,308.981664,,,,,,,,,,,,
FL50705,California,,High School or Below,816261.71%,66140.0,101.0,1/0/00,Corporate Auto,Four-Door Car,484.8,,,,,,,,,,,,
ZK25313,Oregon,,High School or Below,287205.13%,57749.0,74.0,1/0/00,Personal Auto,Two-Door Car,355.2,,,,,,,,,,,,
QK46697,Washington,M,Bachelors,617710.93%,61040.0,79.0,1/1/00,Personal Auto,Two-Door Car,20.382876,,,,,,,,,,,,
YH23384,Arizona,,Bachelor,2412750.40%,14072.0,71.0,1/0/00,Personal Auto,Four-Door Car,511.2,,,,,,,,,,,,
TZ98966,Nevada,,Bachelor,245019.10%,0.0,73.0,1/3/00,Corporate Auto,Four-Door Car,554.376763,,,,,,,,,,,,
HM55802,California,,Bachelor,239210.79%,17870.0,61.0,1/0/00,Corporate Auto,Four-Door Car,439.2,,,,,,,,,,,,
FS42516,Oregon,,College,580206.60%,97541.0,72.0,1/0/00,Personal Auto,Four-Door Car,389.185006,,,,,,,,,,,,
US89481,California,,Bachelor,394637.21%,0.0,111.0,1/0/00,Personal Auto,Four-Door Car,799.2,,,,,,,,,,,,
